date,price,open,high,low,volume,change_percent
Oct 12 2014,477.68,482.35,494.22,475.88,42.79M,-0.95%
Oct 05 2014,482.27,467.47,484.67,443.08,98.72M,1.08%
Sep 28 2014,477.14,459.00,478.71,456.53,21.39M,4.54%
Sep 21 2014,456.41,456.39,461.38,445.92,60.98M,-0.59%
Sep 14 2014,459.13,454.53,469.77,449.40,41.78M,0.88%
Sep 07 2014,455.14,462.93,470.10,450.27,24.84M,-1.63%
Aug 31 2014,462.69,447.72,470.65,440.96,31.79M,3.67%
Aug 24 2014,446.32,446.35,452.67,441.76,23.21M,-0.06%
Aug 17 2014,446.59,447.96,447.96,437.79,26.29M,-0.32%
Aug 10 2014,448.03,437.04,449.91,435.31,27.25M,3.73%
Aug 03 2014,431.92,416.09,447.51,415.38,53.64M,4.23%
Jul 27 2014,414.39,414.85,421.03,411.85,30.60M,-0.32%
Jul 20 2014,415.74,403.68,421.54,395.39,38.91M,3.09%
Jul 13 2014,403.26,411.12,414.96,395.10,26.01M,-2.26%
Jul 06 2014,412.57,404.92,425.63,403.14,58.54M,2.49%
Jun 29 2014,402.56,399.34,404.68,395.68,31.33M,0.70%
Jun 22 2014,399.76,409.26,410.37,392.99,37.67M,-2.81%
Jun 15 2014,411.32,395.13,414.15,394.38,49.41M,4.07%
Jun 08 2014,395.25,372.80,408.90,369.09,72.99M,6.12%
Jun 01 2014,372.44,367.16,380.54,365.86,47.60M,2.17%
May 25 2014,364.54,380.86,395.37,357.18,85.50M,-4.24%
May 18 2014,380.68,396.61,396.61,372.07,51.74M,-3.40%
May 11 2014,394.08,386.72,414.23,379.38,42.13M,2.13%
May 04 2014,385.88,395.87,400.96,377.82,39.70M,-3.36%
Apr 27 2014,399.31,393.02,402.69,392.52,23.38M,1.39%
Apr 20 2014,393.84,398.10,399.34,389.72,30.73M,-0.52%
Apr 13 2014,395.88,413.26,420.18,390.35,42.37M,-1.33%
Apr 06 2014,401.22,409.02,411.06,392.52,57.70M,-2.44%
Mar 30 2014,411.25,407.44,416.21,400.59,32.08M,1.64%
Mar 23 2014,404.63,405.82,411.55,398.84,44.91M,-1.30%
Mar 16 2014,409.97,421.67,423.14,401.67,47.99M,-2.61%
Mar 09 2014,420.94,462.56,462.56,413.61,67.46M,-9.25%
Mar 02 2014,463.87,474.37,477.47,459.90,40.38M,-2.21%
Feb 23 2014,474.36,464.58,475.88,462.59,29.65M,1.98%
Feb 16 2014,465.16,457.01,466.56,452.30,39.95M,2.92%
Feb 09 2014,451.96,443.98,454.41,441.20,25.64M,2.18%
Feb 02 2014,442.32,457.01,457.88,439.15,26.55M,-3.64%
Jan 26 2014,459.01,461.35,466.80,453.12,42.86M,-1.52%
Jan 19 2014,466.08,460.36,471.15,459.42,43.42M,0.76%
Jan 12 2014,462.56,444.24,466.89,444.24,84.95M,5.03%
Jan 05 2014,440.42,443.38,444.05,423.88,70.65M,-0.39%
Dec 29 2013,442.15,442.46,443.37,428.39,31.38M,0.11%
Dec 22 2013,441.67,434.07,443.00,429.18,30.21M,0.28%
Dec 15 2013,440.44,419.19,443.12,415.94,46.03M,5.26%
Dec 08 2013,418.42,417.33,420.41,411.87,41.30M,1.44%
Dec 01 2013,412.46,415.71,421.54,411.52,33.02M,-0.86%
Nov 24 2013,416.03,415.71,419.04,404.92,32.72M,0.21%
Nov 17 2013,415.17,420.55,427.62,410.89,30.82M,-0.20%
Nov 10 2013,415.99,415.47,421.42,411.25,23.29M,-0.17%
Nov 03 2013,416.71,403.31,421.66,400.96,24.83M,2.54%
Oct 27 2013,406.37,411.40,417.32,405.47,30.06M,-1.65%
Oct 20 2013,413.18,413.36,418.90,404.94,35.65M,0.51%
Oct 13 2013,411.07,403.81,417.58,403.81,43.91M,1.22%
Oct 06 2013,406.10,373.92,413.98,372.85,103.88M,8.56%
Sep 29 2013,374.09,374.56,378.88,371.75,36.03M,0.32%
Sep 22 2013,372.88,372.68,378.38,370.94,45.10M,0.38%
Sep 15 2013,371.46,375.16,379.25,369.59,45.12M,-1.09%
Sep 08 2013,375.54,376.03,395.37,373.71,47.24M,-0.03%
Sep 01 2013,375.66,381.62,389.41,371.45,43.29M,-2.47%
Aug 25 2013,385.19,374.53,388.18,373.11,61.19M,3.50%
Aug 18 2013,372.15,370.83,376.58,362.40,39.61M,0.75%
Aug 11 2013,369.38,369.08,383.83,368.05,39.23M,0.47%
Aug 04 2013,367.66,371.91,375.16,364.62,30.80M,-1.47%
Jul 28 2013,373.15,360.90,374.54,360.90,43.16M,3.28%
Jul 21 2013,361.31,350.01,366.23,349.98,31.87M,2.31%
Jul 14 2013,353.14,345.40,355.32,332.50,55.23M,1.54%
Jul 07 2013,347.78,308.19,360.35,305.15,89.47M,14.17%
Jun 30 2013,304.62,306.20,308.01,296.73,24.22M,-1.71%
Jun 23 2013,309.91,297.96,311.01,290.83,41.07M,3.31%
Jun 16 2013,299.97,299.07,305.09,290.55,25.81M,0.99%
Jun 09 2013,297.02,305.09,311.85,294.55,25.91M,-2.12%
Jun 02 2013,303.45,313.15,325.55,299.62,64.14M,1.45%
May 26 2013,299.10,290.35,301.98,287.29,37.56M,2.72%
May 19 2013,291.19,290.95,301.74,289.46,29.45M,-0.16%
May 12 2013,291.66,292.07,294.26,286.89,31.82M,-0.84%
May 05 2013,294.12,287.11,295.79,287.11,29.36M,2.76%
Apr 28 2013,286.23,273.59,288.22,271.11,36.30M,4.34%
Apr 21 2013,274.33,284.20,284.38,273.15,48.16M,-3.65%
Apr 14 2013,284.71,284.00,292.31,273.34,109.24M,-0.04%
Apr 07 2013,284.83,353.46,364.07,281.36,136.16M,-19.86%
Mar 31 2013,355.42,360.99,372.00,353.46,37.37M,-0.81%
Mar 24 2013,358.34,352.86,359.28,351.30,20.80M,0.92%
Mar 17 2013,355.09,355.47,358.97,350.67,44.73M,-0.52%
Mar 10 2013,356.96,369.80,370.82,352.58,36.90M,-3.10%
Mar 03 2013,368.37,362.88,373.27,356.20,49.36M,1.94%
Feb 24 2013,361.37,355.94,368.26,355.64,49.88M,2.58%
Feb 17 2013,352.28,345.15,354.08,342.67,27.21M,1.86%
Feb 10 2013,345.84,347.41,350.73,340.03,30.25M,-0.03%
Feb 03 2013,345.95,344.90,349.33,340.43,38.95M,0.67%
Jan 27 2013,343.65,348.74,350.68,341.30,45.11M,-1.55%
Jan 20 2013,349.07,342.67,350.73,342.67,38.12M,0.95%
Jan 13 2013,345.77,342.27,351.84,341.33,102.02M,2.80%
Jan 06 2013,336.35,291.58,337.58,286.39,131.53M,15.43%
Dec 30 2012,291.39,287.11,292.06,285.68,29.82M,1.13%
Dec 23 2012,288.12,287.86,289.08,282.35,22.76M,1.15%
Dec 16 2012,284.85,281.15,287.89,278.42,44.61M,0.79%
Dec 09 2012,282.62,287.84,290.70,281.03,52.05M,-1.82%
Dec 02 2012,287.87,302.24,304.22,286.62,44.21M,-4.75%
Nov 25 2012,302.22,296.50,307.57,296.50,26.92M,2.50%
Nov 18 2012,294.86,290.70,297.52,286.83,25.77M,1.46%
Nov 11 2012,290.62,292.07,296.03,282.62,27.09M,-0.23%
Nov 04 2012,291.28,295.55,299.38,290.83,27.64M,-1.65%
Oct 28 2012,296.17,287.85,298.22,286.15,31.04M,2.51%
Oct 21 2012,288.92,293.71,297.40,287.86,23.99M,-2.25%
Oct 14 2012,295.58,295.87,299.14,290.84,48.91M,-0.50%
Oct 07 2012,297.07,313.12,319.98,286.61,94.76M,-5.20%
Sep 30 2012,313.38,316.41,324.96,255.55,35.45M,-0.32%
Sep 23 2012,314.38,322.45,323.81,313.30,49.70M,-2.25%
Sep 16 2012,321.62,328.53,328.65,315.88,40.96M,-1.47%
Sep 09 2012,326.43,309.55,327.99,306.90,33.74M,5.82%
Sep 02 2012,308.47,293.43,309.30,289.24,24.37M,5.32%
Aug 26 2012,292.89,301.39,304.03,292.03,36.16M,-3.40%
Aug 19 2012,303.20,293.31,307.94,293.31,38.80M,3.99%
Aug 12 2012,291.58,285.41,292.07,283.92,20.28M,1.65%
Aug 05 2012,286.86,275.60,287.85,273.76,29.32M,4.73%
