date,open,high,low,close
Mar 15 2021,15048.40,15051.60,14350.10,14744.00
Mar 08 2021,15002.45,15336.30,14919.90,15030.95
Mar 01 2021,14702.50,15273.15,14638.55,14938.10
Feb 22 2021,14999.05,15176.50,14467.75,14529.15
Feb 15 2021,15270.30,15431.75,14898.20,14981.75
Feb 08 2021,15064.30,15257.10,14977.20,15163.30
Feb 01 2021,13758.60,15014.65,13661.75,14924.25
Jan 25 2021,14477.80,14491.10,13596.75,13634.60
Jan 18 2021,14453.30,14753.55,14222.80,14371.90
Jan 11 2021,14474.05,14653.35,14357.85,14433.70
Jan 04 2021,14104.35,14367.30,13953.75,14347.25
Dec 28 2020,13815.15,14049.85,13811.55,14018.50
Dec 21 2020,13741.90,13777.50,13131.45,13749.25
Dec 14 2020,13571.45,13773.25,13447.05,13760.55
Dec 07 2020,13264.85,13579.35,13241.95,13513.85
Nov 30 2020,13062.20,13280.05,12962.80,13258.55
Nov 23 2020,12960.30,13145.85,12790.40,12968.95
Nov 16 2020,12932.50,12963.00,12730.25,12859.05
Nov 09 2020,12399.40,12769.75,12367.35,12719.95
Nov 02 2020,11697.35,12280.40,11557.40,12263.55
Oct 26 2020,11937.40,11942.85,11535.45,11642.40
Oct 19 2020,11879.20,12018.65,11775.75,11930.35
Oct 12 2020,11973.55,12025.45,11661.30,11762.45
Oct 05 2020,11487.80,11938.60,11452.30,11914.20
Sep 28 2020,11140.85,11428.60,11099.85,11416.95
Sep 21 2020,11503.80,11535.25,10790.20,11050.25
Sep 14 2020,11540.15,11618.10,11383.55,11504.95
Sep 07 2020,11359.60,11493.50,11185.15,11464.45
Aug 31 2020,11777.55,11794.25,11303.65,11333.85
Aug 24 2020,11412.00,11686.05,11410.65,11647.60
Aug 17 2020,11248.90,11460.35,11144.50,11371.60
Aug 10 2020,11270.25,11373.60,11111.45,11178.40
Aug 03 2020,11057.55,11256.80,10882.25,11214.05
Jul 27 2020,11225.00,11341.40,11026.65,11073.45
Jul 20 2020,10999.45,11239.80,10953.00,11194.15
Jul 13 2020,10851.85,10933.45,10562.90,10901.70
Jul 06 2020,10723.85,10847.85,10676.55,10768.05
Jun 29 2020,10311.95,10631.30,10223.60,10607.35
Jun 22 2020,10318.75,10553.15,10194.50,10383.00
Jun 15 2020,9919.35,10272.40,9726.35,10244.40
Jun 08 2020,10326.75,10328.50,9544.35,9972.90
Jun 01 2020,9726.85,10177.80,9706.95,10142.15
May 25 2020,9099.75,9598.85,8996.65,9580.30
May 18 2020,9158.30,9178.55,8806.75,9039.25
May 11 2020,9348.15,9584.50,9043.95,9136.85
May 04 2020,9533.50,9533.50,9116.50,9251.50
Apr 27 2020,9259.70,9889.05,9250.35,9859.90
Apr 20 2020,9390.20,9390.85,8909.40,9154.40
Apr 13 2020,9103.95,9324.00,8821.90,9266.75
Apr 06 2020,8446.30,9131.70,8360.95,9111.90
Mar 30 2020,8385.95,8678.30,8055.80,8083.80
Mar 23 2020,7945.70,9038.90,7511.10,8660.25
Mar 16 2020,9587.80,9602.20,7832.55,8745.45
Mar 09 2020,10742.05,10751.55,8555.15,9955.20
Mar 02 2020,11387.35,11433.00,10827.40,10989.45
Feb 24 2020,12012.55,12012.55,11175.05,11201.75
Feb 17 2020,12131.80,12159.60,11908.05,12080.85
Feb 10 2020,12102.35,12246.70,11990.75,12113.45
Feb 03 2020,11627.45,12160.60,11614.50,12098.35
Jan 27 2020,12197.10,12216.60,11945.85,11962.10
Jan 20 2020,12430.50,12430.50,12087.90,12248.25
Jan 13 2020,12296.70,12389.05,12278.75,12352.35
Jan 06 2020,12170.60,12311.20,11929.60,12256.80
Dec 30 2019,12274.90,12289.90,12151.80,12226.65
Dec 23 2019,12235.45,12287.15,12118.85,12245.80
Dec 16 2019,12131.35,12293.90,12046.30,12271.80
Dec 09 2019,11939.10,12098.85,11832.30,12086.70
Dec 02 2019,12137.05,12137.15,11888.85,11921.50
Nov 25 2019,11922.45,12158.80,11919.75,12056.05
Nov 18 2019,11915.15,12038.60,11867.60,11914.40
Nov 11 2019,11879.20,11973.65,11802.65,11895.45
Nov 04 2019,11928.90,12034.15,11850.25,11908.15
Oct 28 2019,11643.95,11945.00,11627.35,11890.60
Oct 21 2019,11657.15,11714.35,11490.75,11583.90
Oct 14 2019,11335.90,11684.70,11290.05,11661.85
Oct 07 2019,11196.20,11362.90,11090.15,11305.05
Sep 30 2019,11491.15,11554.20,11158.35,11174.75
Sep 23 2019,11542.70,11694.85,11416.10,11512.40
Sep 16 2019,10994.85,11381.90,10670.25,11274.20
Sep 09 2019,10936.70,11084.45,10889.80,11075.90
Sep 02 2019,10960.95,10967.50,10746.35,10946.20
Aug 26 2019,11000.30,11141.75,10756.55,11023.25
Aug 19 2019,11094.80,11146.90,10637.15,10829.35
Aug 12 2019,11139.40,11145.90,10901.60,11047.80
Aug 05 2019,10895.80,11181.45,10782.60,11109.65
Jul 29 2019,11307.50,11310.95,10848.95,10997.35
Jul 22 2019,11392.85,11398.15,11210.05,11284.30
Jul 15 2019,11614.75,11706.65,11399.30,11419.25
Jul 08 2019,11770.40,11771.90,11461.00,11552.50
Jul 01 2019,11839.90,11981.75,11797.90,11811.15
Jun 24 2019,11725.80,11911.15,11651.00,11788.85
Jun 17 2019,11844.00,11844.05,11625.10,11724.10
Jun 10 2019,11934.90,12000.35,11797.70,11823.30
Jun 03 2019,11953.75,12103.05,11769.50,11870.65
May 27 2019,11855.50,12039.25,11812.40,11922.80
May 20 2019,11651.90,12041.15,11591.70,11844.10
May 13 2019,11258.70,11426.15,11108.30,11407.15
May 06 2019,11605.80,11657.05,11251.05,11278.90
Apr 29 2019,11748.75,11789.30,11655.90,11712.25
Apr 22 2019,11727.05,11796.75,11564.80,11754.65
Apr 15 2019,11667.00,11856.15,11648.25,11752.80
Apr 08 2019,11704.35,11710.30,11549.10,11643.45
Apr 01 2019,11665.20,11761.00,11559.20,11665.95
Mar 25 2019,11395.65,11630.35,11311.60,11623.90
Mar 18 2019,11473.85,11572.80,11412.50,11456.90
Mar 11 2019,11068.75,11487.00,11059.85,11426.85
Mar 04 2019,10864.85,11089.05,10817.00,11035.40
Feb 25 2019,10813.25,10939.70,10729.30,10863.50
Feb 18 2019,10738.65,10808.85,10585.65,10791.65
Feb 11 2019,10930.90,10930.90,10620.40,10724.40
Feb 04 2019,10876.75,11118.10,10814.15,10943.60
Jan 28 2019,10792.45,10983.45,10583.65,10893.65
Jan 21 2019,10919.35,10987.45,10756.45,10780.55
Jan 14 2019,10807.00,10930.65,10692.35,10906.95
Jan 07 2019,10804.85,10870.40,10733.25,10794.95
Dec 31 2018,10913.20,10923.55,10628.65,10727.35
Dec 24 2018,10780.90,10893.60,10534.55,10859.90
Dec 17 2018,10853.20,10985.15,10738.65,10754.00
Dec 10 2018,10508.70,10838.60,10333.85,10805.45
Dec 03 2018,10930.70,10941.20,10588.25,10693.70
Nov 26 2018,10568.30,10922.45,10489.75,10876.75
Nov 19 2018,10731.25,10774.70,10512.00,10526.75
Nov 12 2018,10607.80,10695.15,10440.55,10682.20
Nov 05 2018,10558.75,10619.55,10477.00,10585.20
Oct 29 2018,10078.10,10606.95,10020.35,10553.00
Oct 22 2018,10405.85,10408.55,10004.55,10030.00
Oct 15 2018,10524.20,10710.15,10249.60,10303.55
Oct 08 2018,10310.15,10492.45,10138.60,10472.50
Oct 01 2018,10930.90,11035.65,10261.90,10316.45
Sep 24 2018,11164.40,11170.15,10850.30,10930.45
